Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
42.0,23.73817428513015,40.241825633970606,17.206910237453627,26.74176416827145,30.401754804430038,138.33042912925586,223.33914174148828,5064.2817284995335,8585.15654286191,3670.9074620811853,5705.0650163123155,6485.884277412272
43.0,20.862894566568087,45.64884800025849,46.39317182470263,38.22581569748284,9.945861427604939,161.07659151661696,177.84681696676608,3501.7704457116924,7662.0138350431125,7786.946219768592,6416.081490780736,1669.381182616025
44.0,32.06325110260619,24.17742095699601,7.620335768474633,7.44876093868182,42.22903583208658,113.53880459884523,272.92239080230956,8430.146636792007,6356.785321447253,2003.5568989637056,1958.44603451308,11102.959062248601
45.0,37.204596432003676,47.71274072826406,24.21865334989255,8.168675910787655,18.274067782593722,135.57873420354167,228.84253159291666,8141.948070072479,10441.57697020977,5300.071410861757,1787.6537160788448,3999.143256043367
46.0,16.811316539668617,42.00650341306654,21.01187602762203,29.230573343619877,33.904185547261584,142.96445487123864,214.0710902575227,3430.7036949144986,8572.312949410838,4287.916449312733,5965.1149710849895,6918.864108923016
47.0,19.27653660270545,9.381102352162419,17.052119426123646,23.677273771183224,9.504098616588713,78.89113076876345,342.2177384624731,6404.007395539888,3116.568607720386,5665.016551738802,7866.0103452193225,3157.4301485274214
48.0,36.439921506269116,48.78576442926543,21.392262496958953,22.23764942582894,23.58698466833392,152.44258252665634,195.11483494668732,6745.57005510325,9030.968730071438,3960.025141260766,4116.51880306462,4366.300773768678
49.0,26.40401353697476,10.286442094688942,35.3850410794623,20.12878215910215,45.44255399005891,137.64683286028705,224.7063342794259,5669.108956788189,2208.564274928242,7597.39245849825,4321.777030889931,9756.80418750045
50.0,22.64973390608557,42.66032333947344,3.110582527616963,8.671381385902627,5.662218095664535,82.75423925474314,334.4915214905137,7349.646616540983,13842.91322770301,1009.3576571082361,2813.789739336063,1837.3417648733043
51.0,46.57301505298858,32.21410803687089,10.45062549002749,41.743708663614875,33.551081520481716,164.53253876398355,170.9349224720329,7495.224566841538,5184.374979419509,1681.8706030218248,6718.020517473988,5399.540703351581
52.0,3.7831538776868765,7.281326073514373,18.167294690551287,12.117990122178712,37.741845302064334,79.09161006599558,341.81677986800884,1255.3139374392304,2416.066170882512,6028.213223131903,4020.952460813679,12523.377574407525
